epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,294.709,0.56822,0.44348,0.82127,0.94435,0.84127,0.88929,0.71167,0.69342,0.45212,0.83186,0.000165192,0.000165192,0.000165192
136,296.866,0.5405,0.43509,0.84046,0.89201,0.87831,0.88742,0.73182,0.66942,0.45399,0.83456,0.000155761,0.000155761,0.000155761
137,299.045,0.5515,0.4467,0.83025,0.93087,0.84127,0.88484,0.7163,0.68042,0.44022,0.83938,0.00014633,0.00014633,0.00014633
138,301.196,0.54732,0.44509,0.82046,0.88721,0.87831,0.8876,0.728,0.72607,0.45199,0.83778,0.000136898,0.000136898,0.000136898
139,303.36,0.53377,0.43702,0.83045,0.88847,0.87831,0.89018,0.73426,0.65611,0.43905,0.83114,0.000127467,0.000127467,0.000127467
140,305.525,0.50297,0.43192,0.82749,0.93476,0.84127,0.89778,0.73327,0.67716,0.44761,0.83683,0.000118035,0.000118035,0.000118035
141,326.171,0.52988,0.47928,0.79168,0.92429,0.84096,0.88821,0.72867,0.65079,0.4625,0.83897,0.000108604,0.000108604,0.000108604
142,328.314,0.56595,0.45093,0.82805,0.92996,0.84127,0.8827,0.73226,0.67424,0.47339,0.84365,9.91726e-05,9.91726e-05,9.91726e-05
143,330.48,0.51418,0.41768,0.82199,0.93169,0.84127,0.89376,0.71372,0.72808,0.47938,0.84198,8.97412e-05,8.97412e-05,8.97412e-05
144,332.63,0.50905,0.42175,0.81295,0.93106,0.84127,0.89195,0.71897,0.70939,0.47293,0.8352,8.03098e-05,8.03098e-05,8.03098e-05
145,334.739,0.54935,0.43221,0.82302,0.92767,0.84127,0.88822,0.72184,0.6731,0.47291,0.83712,7.08784e-05,7.08784e-05,7.08784e-05
146,336.854,0.50387,0.41982,0.81504,0.91989,0.87104,0.89262,0.72855,0.67521,0.45541,0.84093,6.1447e-05,6.1447e-05,6.1447e-05
147,339.025,0.4643,0.40614,0.81548,0.91558,0.87182,0.89494,0.72762,0.69185,0.45365,0.84494,5.20156e-05,5.20156e-05,5.20156e-05
148,341.176,0.49047,0.40173,0.83352,0.98899,0.83575,0.89776,0.74248,0.68873,0.44888,0.84232,4.25842e-05,4.25842e-05,4.25842e-05
149,343.295,0.50592,0.3988,0.83582,0.98554,0.84127,0.89683,0.74205,0.69046,0.44096,0.84065,3.31528e-05,3.31528e-05,3.31528e-05
150,345.429,0.49862,0.40178,0.82727,0.98978,0.83935,0.89718,0.74967,0.69711,0.43449,0.83939,2.37214e-05,2.37214e-05,2.37214e-05
